name,Apo_Our_RMSD,Apo_Our_TM,Apo_Our_SS_Acc,Apo_Base_RMSD,Apo_Base_TM,Apo_Base_SS_Acc,Holo_Our_RMSD,Holo_Our_TM,Holo_Our_SS_Acc,Holo_Base_RMSD,Holo_Base_TM,Holo_Base_SS_Acc
1k0n.A.pdb,1.3276425633553384,,95.55555555555556,1.2782391397434514,,91.55555555555556,2.6761060789504514,,42.71844660194174,2.530746457507144,,43.203883495145625
1mnm.C.pdb,1.5360156038398987,,84.21052631578947,,,0.0,1.8396030252847138,,92.10526315789474,,,0.0
1nqj.B.pdb,1.2958152589091545,,88.49557522123894,1.6691863523049113,,86.72566371681415,0.8905802560706315,,82.88288288288288,1.1090765942067051,,84.68468468468468
1noc.A.pdb,5.904665801646182,,63.34231805929919,5.547199823693836,,67.38544474393531,5.521933599397485,,40.700808625336926,5.55474339276268,,43.39622641509434
1qs8.B.pdb,1.5742575540381825,,87.46177370030581,1.48673321682613,,85.93272171253822,2.715904326339216,,32.7217125382263,2.326175692684682,,34.25076452599388
1rep.C.pdb,1.2672196894231764,,93.42723004694837,2.8661645937016735,,79.34272300469483,4.375686193638233,,45.539906103286384,4.162947819593673,,44.13145539906103
1uxm.K.pdb,0.6733716479724128,,93.42105263157895,,,0.0,4.715708672254099,,36.18421052631579,,,0.0
1x0g.A.pdb,1.959320250981994,,82.17821782178217,2.249392390638093,,83.16831683168317,1.9561089691756948,,40.5940594059406,2.3247645780812354,,41.584158415841586
1xju.B.pdb,3.078762468480975,,81.81818181818183,2.6708896851261628,,86.36363636363636,2.585541012828342,,36.36363636363637,2.121755384910965,,33.76623376623377
1xnt.A.pdb,1.9169217093364723,,86.0,1.9441083980061145,,88.66666666666667,2.644517085508711,,68.66666666666667,2.5824724791746223,,72.66666666666667
2hdm.A.pdb,1.8757968858101877,,84.93150684931507,1.9907076827280488,,80.82191780821918,3.1556352567322037,,50.0,3.383003417982263,,56.06060606060605
2oug.C.pdb,2.8005006486724078,,81.42857142857143,2.747705007756934,,56.42857142857143,1.722129082183534,,70.71428571428572,2.9356456799380886,,58.57142857142858
3hdf.A.pdb,2.643521673350633,,81.81818181818183,2.717157534721199,,83.33333333333334,1.3612633425168519,,43.18181818181818,1.5035840810279053,,46.21212121212121
3ifa.A.pdb,1.6846121752910885,,90.76923076923077,1.8856839239412904,,90.46153846153845,1.0415378556066177,,36.17021276595745,1.1382601914276054,,35.815602836879435
3j7w.B.pdb,3.5407412354170176,,71.34502923976608,4.62913619532846,,74.26900584795322,3.857504436516221,,37.22397476340694,5.176163277107078,,52.99684542586751
3jv6.A.pdb,0.7832384352794616,,88.0,1.2743285749812412,,75.0,1.9006737972196708,,46.0,2.0745065006515913,,41.0
3kuy.A.pdb,1.1027809089203424,,95.78947368421052,1.4881569291834649,,86.31578947368422,1.6002968209727604,,37.5,1.5700863407500092,,50.0
3m1b.F.pdb,0.889721102256989,,87.75510204081633,1.006025937454572,,86.73469387755102,1.4748034319982082,,64.28571428571429,1.2821794596215994,,63.26530612244899
3o44.A.pdb,5.754510545402649,,50.689655172413794,6.236533680793935,,53.62068965517242,4.653692654893743,,42.58620689655173,7.233215141002853,,43.103448275862064
3qy2.A.pdb,2.027771217507506,,78.84615384615384,2.0605829639984776,,90.38461538461539,2.1327743770704415,,39.42307692307692,2.496006367561864,,53.84615384615385
3tp2.A.pdb,2.3966730729601418,,89.28571428571429,,,0.0,2.8220408040870346,,79.91071428571429,,,0.0
3uyi.A.pdb,1.8827054925096378,,84.56591639871382,2.012017176387553,,83.92282958199357,1.2129462139776168,,53.31010452961673,1.526165513979965,,53.31010452961673
3zwg.N.pdb,2.572066456827748,,77.96610169491525,0.7407398829853244,,94.35028248587571,2.4872383544489303,,62.5,0.9013366164292367,,65.3409090909091
4aan.A.pdb,1.6087163646754121,,81.67701863354037,1.838745160365303,,77.63975155279503,2.750879735966974,,69.375,2.9069460222748362,,70.9375
4gqc.C.pdb,0.7306205507199668,,95.625,0.8046126804021198,,98.75,1.4173290236539149,,76.25,1.4222735917494198,,74.375
4j3o.F.pdb,1.5493259608663297,,84.31372549019608,2.0850949622505657,,64.70588235294117,1.689936377656425,,69.28104575163398,2.240718759666539,,64.05228758169935
5hk5.H.pdb,1.8334642969877912,,73.72881355932203,,,0.0,2.4017442337245427,,55.85585585585585,,,0.0
4nc9.C.pdb,2.6022203936796138,,79.13043478260869,3.6084582374706593,,68.69565217391305,2.507742512109317,,48.40579710144928,3.4600446778390976,,42.028985507246375
4o0p.A.pdb,2.410118362102524,,86.98347107438018,3.6236919849811,,85.74380165289256,3.5093489624671714,,77.38589211618257,3.072078873493728,,75.31120331950207
4phq.A.pdb,4.361496238634675,,74.48275862068967,3.751092650361545,,71.72413793103448,4.080896163518845,,78.94736842105263,4.317752776064134,,67.71929824561404
4pyi.A.pdb,1.4448636885148285,,89.80582524271846,1.027226001806299,,89.80582524271846,1.3209113829595012,,72.81553398058253,1.2650600509460912,,73.7864077669903
