name,Apo_Our_RMSD,Apo_Our_TM,Apo_Our_SS_Acc,Apo_Base_RMSD,Apo_Base_TM,Apo_Base_SS_Acc,Holo_Our_RMSD,Holo_Our_TM,Holo_Our_SS_Acc,Holo_Base_RMSD,Holo_Base_TM,Holo_Base_SS_Acc
1ael.A.pdb,2.210486973429903,,96.15384615384616,2.3771811492668564,,84.61538461538461,1.427826687578205,,95.16129032258065,1.6174256057243273,,85.48387096774194
1bv2.A.pdb,1.4332324965560912,,94.11764705882352,1.6834447621438533,,96.07843137254902,1.0982169411634461,,96.36363636363636,1.4278854180208174,,100.0
1c54.A.pdb,1.2177139846699525,,100.0,1.350198433656563,,100.0,0.3477749181813591,,97.22222222222221,0.6813437112342315,,97.22222222222221
1eal.A.pdb,1.4768513181838754,,96.15384615384616,1.9107384260884113,,93.58974358974359,1.9631454007946652,,91.86046511627907,2.0035397089652904,,90.69767441860465
1f3y.A.pdb,2.1012913581796897,,85.41666666666666,2.209810709902863,,93.75,1.6487161016693095,,89.8876404494382,1.7183697261942659,,93.25842696629213
1fmf.A.pdb,1.716445958640802,,91.56626506024097,1.7677612165014023,,92.7710843373494,3.1476779172376417,,83.33333333333334,3.1542905250228004,,85.18518518518519
1gh1.A.pdb,1.8435374314128725,,98.0392156862745,1.9812177498008245,,86.27450980392157,1.8126709530826102,,94.0,2.104533201158373,,82.0
1gqn.A.pdb,1.3062022090024454,,98.17073170731707,0.9451986201811745,,96.34146341463415,0.44712566024804057,,97.60479041916167,0.6775230599901355,,95.20958083832335
1gqz.A.pdb,1.9785450824739224,,96.05263157894737,1.4101152017511493,,95.39473684210526,2.720551143311904,,97.38562091503267,2.820384508781341,,96.73202614379085
1hsi.B.pdb,0.7981104577330331,,100.0,1.3943608102966958,,100.0,0.6652883587130856,,96.22641509433963,1.3297312237129764,,94.33962264150944
1i56.A.pdb,2.035632635981177,,85.18518518518519,2.012095571010954,,90.74074074074075,1.242967740070733,,94.73684210526315,0.8923373106833695,,100.0
